Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Fature 7,Feature 8,Feature 9,Target
3162.28,2473.86,5692.1,3498.57,3026.55,0,200,400,-0.189343,1
2561.25,1843.91,5336.67,2884.44,2473.86,0,200,0,-0.374701,1
632.456,200,3417.6,600,0,0.834361,1341.64,2828.43,0.802719,1
5685.07,5047.77,11764.4,5556.98,4882.62,0,2126.03,3352.61,-0.320183,0
5560.58,4939.64,11649.9,5458.94,4770.74,0,1979.9,3298.48,-0.329424,0
5440.59,4837.35,11537.8,5366.56,4664.76,0,1843.91,3255.76,-0.335182,0
5325.41,4741.31,11428,5280.15,4565.08,0,1720.47,3224.9,-0.331253,0
5215.36,4651.88,11320.8,5200,4472.14,0,1612.45,3206.24,-0.314013,0
5110.77,4569.46,11216.1,5126.4,4386.34,0,1523.15,3200,-0.283066,0
15231.5,15450.6,16124.5,16026.2,10139,0,3959.8,8802.27,-0.407009,0
15047.9,15264.3,16100.9,15851.8,10089.6,0,3820.99,8731.55,-0.408754,0
14864.7,15078.5,16079.8,15678,10043.9,0,3687.82,8664.87,-0.412082,0
14682,14893,16061.1,15504.8,10002,0,3560.9,8602.33,-0.415509,0
9682.97,9765.24,16313.2,10647.1,9193.48,0,2778.49,4939.64,-0.275167,0
9526.8,9602.08,16183.9,10470.9,9050.97,0,2884.44,4837.35,-0.275781,0
9372.3,9440.34,16056.2,10295.6,8910.67,0,3000,4741.31,-0.27667,0
9219.54,9280.09,15929.8,10121.3,8768.12,0,3124.1,4651.88,-0.283238,0
9068.63,9121.4,15805.1,9947.86,8627.86,0,3255.76,4565.08,-0.284505,0
5966.57,5325.41,12043.3,5830.95,5161.4,0,2163.33,3600,-0.325713,0
5841.23,5215.36,11928.1,5730.62,5047.77,0,2000,3544.01,-0.329408,0
5720.14,5110.77,11815.2,5635.6,4939.64,0,1843.91,3492.85,-0.331164,0
5603.57,5011.99,11704.7,5546.17,4837.35,0,1697.06,3452.54,-0.32904,0
5491.81,4919.35,11596.6,5462.6,4741.31,0,1562.05,3423.45,-0.321155,0
5385.17,4833.22,11490.9,5385.17,4651.88,0,1442.22,3405.88,-0.30341,0
6000,5385.17,12093,5905.93,5215.36,0,1886.8,3400,-0.329138,0
5882.18,5283.94,11981.7,5813.78,5110.77,0,1720.47,3405.88,-0.32945,0
5768.88,5188.45,11872.7,5727.13,5011.99,0,1562.05,3423.45,-0.325596,0
