Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Fature 7,Feature 8,Feature 9,Target
21587,21542.5,26660.8,22061.7,20540.7,0,4418.14,3328.66,-0.721408,0
21459.7,21411.2,26648.1,21920.8,20518.3,0,4219,3162.28,-0.680906,0
21333.5,21281,26636.8,21780.7,20497.8,0,4019.95,3000,-0.661425,0
18257.1,17702,24407.4,18213.2,17532.8,0,0,0,0.0927726,0
18174.7,17596.6,24298.1,18110.8,17426.4,0,0,0,0.0965048,0
18085.4,17492.9,24190.1,18010,17321.7,0,0,0,0.0802246,0
17977.8,17390.8,24083.2,17910.9,17218.6,0,0,0,0.0208757,0
15473.8,15078.5,21441.1,15815.2,14752.6,0,1788.85,0,-0.512606,0
22126.9,22090.7,26907.2,22629.2,20817.3,0,5004,3841.87,-0.776186,0
21997.3,21957.2,26890.1,22486.4,20789.4,0,4804.17,3720.22,-0.759752,0
21868.7,21824.8,26874.5,22344.6,20763.4,0,4604.35,3605.55,-0.743504,0
21741.2,21693.3,26860.4,22203.6,20739.3,0,4404.54,3440.93,-0.721614,0
21614.8,21562.9,26847.7,22063.5,20717.1,0,4204.76,3280.24,-0.704688,0
21489.5,21433.6,26836.5,21924.4,20696.9,0,4005,3124.1,-0.689093,0
21365.4,21305.4,26826.9,21786.2,20678.5,0,3805.26,2973.21,-0.64615,0
18522.4,17977.8,24684.4,18487.8,17809,0,200,0,0.146142,0
14035.7,13148.4,20144.5,13776.8,11704.7,0,5830.95,200,-0.492495,0
2408.32,2668.33,3124.1,5656.85,3059.41,0,6016.64,2340.94,0.321448,0
2545.58,2720.29,3280.24,5632.05,3104.83,0,6072.89,2408.32,0.366271,0
2690.72,2785.68,3440.93,5614.27,3162.28,0,6135.14,2433.1,0.393782,0
2842.53,2863.56,3605.55,5603.57,3231.1,0,6203.23,2473.86,0.384401,0
3000,2952.96,3773.59,5600,3310.59,0,6276.94,2529.82,0.346765,0
3162.28,3052.87,3944.62,5600,3400,0,6356.1,2600,0.307155,0
7467.26,2163.33,4560.7,6082.76,2720.29,0,8143.71,2441.31,-0.191492,0
7655.06,2000,4686.15,6177.38,2607.68,0,8229.22,2280.35,-0.180209,0
7843.47,1843.91,4816.64,6276.94,2505.99,0,8318.65,2126.03,-0.184643,0
8032.43,1697.06,4951.77,6381.22,2416.61,0,8411.9,1979.9,-0.190248,0
8160.88,1562.05,5091.17,6489.99,2340.94,0,8508.82,1843.91,-0.197299,0
8099.38,1442.22,5234.5,6603.03,2280.35,0.0157154,8609.3,1697.06,-0.205993,0
8032.43,1280.62,5381.45,6720.12,2236.07,0.0481555,8692.53,1562.05,-0.216293,0
2332.38,2807.13,2973.21,5922.84,3052.87,0,5727.13,2433.1,0.246368,0
2441.31,2828.43,3111.27,5885.58,3162.28,0,5772.35,2473.86,0.260831,0
2561.25,2863.56,3255.76,5854.91,3255.76,0,5824.09,2529.82,0.290015,0
2690.72,2912.04,3405.88,5830.95,3298.48,0,5882.18,2600,0.322577,0
2828.43,2973.21,3560.9,5813.78,3352.61,0,5946.43,2630.59,0.34328,0
2973.21,3046.31,3720.22,5803.45,3417.6,0,6016.64,2668.33,0.337167,0
3124.1,3130.5,3883.3,5800,3492.85,0,6092.62,2720.29,0.318328,0
3280.24,3224.9,4049.69,5800,3577.71,0,6174.14,2785.68,0.294628,0
7353.91,2441.31,4604.35,6174.14,3000,0,8052.33,2720.29,-0.190034,0
7539.23,2280.35,4720.17,6260.99,2884.44,0,8104.32,2561.25,-0.192586,0
7725.28,2126.03,4841.49,6352.95,2778.49,0,8160.88,2408.32,-0.180485,0
7858.75,1979.9,4967.9,6449.81,2683.28,0,8221.92,2262.74,-0.184653,0
7912.02,1843.91,5099.02,6551.34,2600,0,8287.34,2126.03,-0.189849,0
7969.94,1720.47,5234.5,6657.33,2529.82,0,8357.03,1979.9,-0.196226,0
8032.43,1562.05,5374.01,6767.57,2473.86,0,8430.9,1843.91,-0.203846,0
8099.38,1414.21,5517.25,6881.86,2433.1,0.00107609,8508.82,1697.06,-0.212569,0
2505.99,3006.66,3124.1,6118.82,3224.9,0,5531.73,2630.59,0.207173,0
2607.68,3026.55,3255.76,6082.76,3328.66,0,5578.53,2668.33,0.223009,0
2720.29,3059.41,3394.11,6053.1,3440.93,0,5632.05,2720.29,0.2528,0
2842.53,3104.83,3538.36,6029.93,3492.85,0,5692.1,2785.68,0.282589,0
2973.21,3162.28,3687.82,6013.32,3544.01,0,5758.47,2828.43,0.30214,0
3111.27,3231.1,3841.87,6003.33,3605.55,0,5830.95,2863.56,0.299878,0
3255.76,3310.59,4000,6000,3676.96,0,5909.31,2912.04,0.293526,0
3405.88,3400,4161.73,6000,3757.66,0,5993.33,2973.21,0.277007,0
7571,2408.32,4882.62,6440.5,3052.87,0,7912.02,2690.72,-0.193518,0
7615.77,2262.74,5000,6529.93,2952.96,0,7969.94,2545.58,-0.200782,0
7665.51,2126.03,5122.5,6624.2,2863.56,0,8032.43,2408.32,-0.184369,0
7720.1,2000,5249.76,6723.09,2785.68,0,8099.38,2262.74,-0.189054,0
7779.46,1843.91,5381.45,6826.42,2720.29,0,8170.68,2126.03,-0.194664,0
7843.47,1697.06,5517.25,6933.97,2668.33,0,8246.21,1979.9,-0.201176,0
7912.02,1562.05,5656.85,7045.57,2630.59,0,8325.86,1843.91,-0.208406,0
2683.28,3206.24,3280.24,6315.06,3400,0,5336.67,2828.43,0.172404,0
2778.49,3224.9,3405.88,6280.13,3498.57,0,5385.17,2863.56,0.190506,0
2884.44,3255.76,3538.36,6251.4,3605.55,0,5440.59,2912.04,0.222477,0
3000,3298.48,3676.96,6228.96,3687.82,0,5502.73,2973.21,0.252604,0
3124.1,3352.61,3820.99,6212.89,3736.31,0,5571.36,3026.55,0.272747,0
3255.76,3417.6,3969.89,6203.23,3794.73,0,5646.24,3059.41,0.274709,0
3394.11,3492.85,4123.11,6200,3862.64,0,5727.13,3104.83,0.271545,0
7375.64,2545.58,5047.77,6621.18,3224.9,0,7720.1,2828.43,-0.201999,0
7421.59,2408.32,5161.4,6708.2,3130.5,0,7779.46,2690.72,-0.201372,0
7472.62,2280.35,5280.15,6800,3046.31,0,7843.47,2545.58,-0.203992,0
7528.61,2126.03,5403.7,6896.38,2973.21,0,7912.02,2408.32,-0.187986,0
7589.47,1979.9,5531.73,6997.14,2912.04,0,7984.99,2262.74,-0.192833,0
7655.06,1843.91,5663.92,7102.11,2863.56,0,8062.26,2126.03,-0.198316,0
7725.28,1720.47,5800,7211.1,2828.43,0,8143.71,2000,-0.204246,0
2952.96,3423.45,3560.9,6477.65,3671.51,0,5192.3,3059.41,0.179563,0
3052.87,3452.54,3687.82,6449.81,3773.59,0,5249.76,3104.83,0.208108,0
3162.28,3492.85,3820.99,6428.06,3883.3,0,5314.13,3162.28,0.235184,0
3280.24,3544.01,3959.8,6412.49,3929.38,0,5385.17,3224.9,0.253998,0
3405.88,3605.55,4103.66,6403.12,3984.97,0,5462.6,3255.76,0.255803,0
7227.72,2561.25,5325.41,6887.67,3310.59,0,7589.47,2828.43,-0.201798,0
7280.11,2408.32,5440.59,6977.11,3231.1,0,7655.06,2690.72,-0.20406,0
7337.57,2262.74,5560.58,7071.07,3162.28,0,7725.28,2545.58,-0.206749,0
7400,2126.03,5685.07,7169.38,3104.83,0,7800,2408.32,-0.190895,0
7467.26,2000,5813.78,7271.86,3059.41,0,7879.09,2280.35,-0.195478,0
7088.02,2545.58,5603.57,7155.42,3417.6,0,7467.26,2828.43,-0.204018,0
7147.03,2408.32,5720.14,7247.07,3352.61,0,7539.23,2690.72,-0.206286,0
4947.73,5141.98,10824,5400,3059.41,0,4681.88,1400,-0.125566,0
4903.06,5192.3,10632,5400,3104.83,0,4617.36,1400,-0.100465,0
5141.98,5336.67,10881.2,5600,3255.76,0,4870.32,1600,-0.105704,0
5099.02,5385.17,10690.2,5600,3298.48,0,4808.33,1600,-0.0940372,0
5336.67,5531.73,10941.7,5800,3452.54,0,5059.64,1800,-0.101455,0
5295.28,5578.53,10751.7,5800,3492.85,0,5000,1800,-0.0893824,0
5261.18,5600,10562.2,5800,3544.01,0,4947.73,1800,-0.0765243,0
5531.73,5727.13,11005.5,6000,3649.66,0,5215.36,2000,-0.0981726,0
5491.81,5772.35,10816.7,6000,3687.82,0,5047.77,2000,-0.0864399,0
5458.94,5800,10628.3,6000,3736.31,0,4882.62,2000,-0.0740518,0
5727.13,5922.84,11072.5,6200,3847.08,0,5110.77,2200,-0.095589,0
5688.58,5966.57,10884.9,6200,3883.3,0,4939.64,2200,-0.0763287,0
5656.85,6000,10697.7,6200,3929.38,0,4770.74,2200,-0.0659114,0
5922.84,6118.82,11142.7,6400,4044.75,0,5011.99,2400,-0.087549,0
5885.58,6161.17,10956.3,6400,4079.22,0,4837.35,2400,-0.0797233,0
6118.82,6315.06,11216.1,6600,4242.64,0,4919.35,2600,-0.0801706,0
10764.8,10630.1,13753.5,11207.1,9019.98,0,5110.77,282.843,-0.394182,0
5946.43,5099.02,10107.4,6705.22,5141.98,0,2952.96,200,-0.207087,0
5758.47,4919.35,10018,6514.6,4947.73,0,3052.87,200,-0.207187,0
5571.36,4741.31,9931.77,6324.56,4753.95,0,3162.28,200,-0.210083,0
5385.17,4565.08,9848.86,6135.14,4560.7,0,3280.24,200,-0.214731,0
5200,4390.9,9769.34,5946.43,4368.07,0,3405.88,0,-0.221396,0
10928.9,10673.3,13885.2,11371.9,9202.17,0,5215.36,200,-0.394368,0
10816.7,10478.5,13736.1,11260.6,9068.63,0,5047.77,0,-0.408304,0
6203.23,5366.56,10376.9,6957.01,5385.17,0,3046.31,0,-0.217334,0
6016.64,5188.45,10285.9,6767.57,5192.3,0,3130.5,0,-0.213524,0
5830.95,5011.99,10198,6578.75,5000,0,3224.9,0,-0.213715,0
5646.24,4837.35,10113.4,6390.62,4808.33,0,3328.66,0,-0.216114,0
5462.6,4664.76,10031.9,6203.23,4617.36,0,3440.93,200,-0.220352,0
5280.15,4494.44,9953.89,6016.64,4427.19,0,3560.9,200,-0.226419,0
11094.1,10720.1,14018.6,11537.8,9350.94,0,5325.41,282.843,-0.411981,0
